Name				Award	ACT	SAT 	GPA 	Ethnicity	Number of Applicants	Area of Study	School				State
PinnacleSpark Aid		$35000	34	1500	4.0	NA		200			ENGR		University of California,LA	CA
BrightBridge Scholarships	$3000	24	1150	3.0	Hispanic	25			MED		United States Military Academy	NY
ApexEdu Funding			$10000	0	0	0	NA		400			NA		Southern Methodist University	TX
ScholarStarshine Endowments	$6000	28	1300	3.8	NA		250			BUAD		publix				FL
ExcelEssence Scholarships	$3500	23	1100	3.2	Black		180			NURSE		Debbie Gana			IL
RiseNova Scholarships		$4500	27	1250	3.6	Asian		250			ENGR		Rothschild family		PA
ScholarZenith Group		$5500	29	1400	3.9	Hispanic	220			MED		DonMorian trustFund		OH
EmergeEd Dreams			$3200	0	0	0	NA		290			LAW		amazon				GA
VisionPursuit Aid		$4200	0	0	0	Black		450			BUAD		One piece INC			NC
EnlightPath Awards		$5100	26	1300	3.5	Asian		190			NURSE		University of Michigan, AA	MI
